A	ఆ
cEsukuMTE	చేసుకుంటే
cEsukuMTOMdi	చేసుకుంటోంది
cEsukuMTU	చేసుకుంటూ
cEsukuMTuMdi	చేసుకుంటుంది
cEsukuMTunna	చేసుకుంటున్న
cEsukuMdAM	చేసుకుందాం
cEsukunE	చేసుకునే
cEsukunEMduku	చేసుకునేందుకు
cEsukunElA	చేసుకునేలా
cEsukuni	చేసుకుని
cEsukunna	చేసుకున్న
cEti	చేతి
cEtiki	చేతికి
cEtikoccE	చేతికొచ్చే
cEtikoccinaTTu	చేతికొచ్చినట్టు
cEtiniMDA	చేతినిండా
cEtuletti	చేతులెత్తి
cEtulu	చేతులు
cEyAlanEdAniki	చేయాలనేదానికి
cEyAlani	చేయాలని
cEyAlanukunnAru	చేయాలనుకున్నారు
cEyAli	చేయాలి
cEyAlsi	చేయాల్సి
cEyaDAniki	చేయడానికి
cEyaDaM	చేయడం
cEyaMDi	చేయండి
cEyaTAniki	చేయటానికి
cEyaTaM	చేయటం
cEyagA	చేయగా
cEyakUDadu	చేయకూడదు
cEyakapOyinA	చేయకపోయినా
cEyamaMdi	చేయమంది
cEyamani	చేయమని
cEyarAdu	చేయరాదు
cEyi	చేయి
cEyiMcaTaM	చేయించటం
cEyiMci	చేయించి
cEyiMcukunnappuDu	చేయించుకున్నప్పుడు
cEyistAru	చేయిస్తారు
cEyoccu	చేయొచ్చు
cIdariMcukOvAlsina	చీదరించుకోవాల్సిన
cIdariMcukunE	చీదరించుకునే
cIkaTi	చీకటి
cIkaTitO	చీకటితో
cIkaTlO	చీకట్లో
cIlcukuni	చీల్చుకుని
cOLa	చోళ
cOLula	చోళుల
cOLulu	చోళులు
cOTa	చోట
cOTu	చోటు
cUDAlanE	చూడాలనే
cUDAlanna	చూడాలన్న
cUDDAniki	చూడ్డానికి
cUDaMDi	చూడండి
cUDaTAniki	చూడటానికి
cUDaTaM	చూడటం
cUDaTamannadi	చూడటమన్నది
cUDalEM	చూడలేం
cUDani	చూడని
cUSAnrA	చూశాన్రా
cUSArAme	చూశారామె
cUpi	చూపి
cUpiMcaDaM	చూపించడం
cUpiMcaTaM	చూపించటం
cUpiMcalEka	చూపించలేక
cUpiMci	చూపించి
cUpistAru	చూపిస్తారు
cUpistU	చూపిస్తూ
cUpistunna	చూపిస్తున్న
cUpula	చూపుల
cUputAyani	చూపుతాయని
cUputippanivvavu	చూపుతిప్పనివ్వవు
cUputuMTAM	చూపుతుంటాం
cUputuMdi	చూపుతుంది
cUsE	చూసే
cUsi	చూసి
cUsinA	చూసినా
cUsina	చూసిన
cUsinapuDu	చూసినపుడు
cUstE	చూస్తే
cUstU	చూస్తూ
cUstUnE	చూస్తూనే
cUstuMDEvALlu	చూస్తుండేవాళ్లు
cUstuMDaTaM	చూస్తుండటం
cUstuMdi	చూస్తుంది
cUstunnAM	చూస్తున్నాం
cUsukOvaccu	చూసుకోవచ్చు
cUsukuMTAM	చూసుకుంటాం
cUsukunE	చూసుకునే
caMDISvarAdi	చండీశ్వరాది
caMdanOtsavaM	చందనోత్సవం
caMdrabAbu	చంద్రబాబు
caMdruDu	చంద్రుడు
caMpEstAru	చంపేస్తారు
caTTabaddhamaina	చట్టబద్ధమైన
caTukkuna	చటుక్కున
cadivAnanI	చదివాననీ
cadivO	చదివో
cadivi	చదివి
cadivina	చదివిన
caduvu	చదువు
caduvuku	చదువుకు
caduvukunEMduku	చదువుకునేందుకు
caduvutAM	చదువుతాం
cainAnU	చైనానూ
caitanya	చైతన్య
caitanyaM	చైతన్యం
caitra	చైత్ర
caitramAsaMlO	చైత్రమాసంలో
cakkaTi	చక్కటి
cakkagA	చక్కగా
cakkanicukka	చక్కనిచుక్క
cakraMtO	చక్రంతో
cakratIrthamani	చక్రతీర్థమని
cakravarti	చక్రవర్తి
caliMcipOyAru	చలించిపోయారు
callani	చల్లని
callapalli	చల్లపల్లి
canipOyADu	చనిపోయాడు
cappabaDipOyi	చప్పబడిపోయి
caritra	చరిత్ర
caritralO	చరిత్రలో
caritralOnE	చరిత్రలోనే
carmAniki	చర్మానికి
carmaM	చర్మం
carmarugmatalu	చర్మరుగ్మతలు
carya	చర్య
caryala	చర్యల
caryalu	చర్యలు
caturdaSini	చతుర్దశిని
caturmakha	చతుర్మఖ
caturmukha	చతుర్ముఖ
ceDDa	చెడ్డ
ceDDapani	చెడ్డపని
ceMculakshmi	చెంచులక్ష్మి
ceMculu	చెంచులు
ceMdAraTa	చెందారట
ceMdiMdi	చెందింది
ceMdina	చెందిన
ceMdinavi	చెందినవి
ceMta	చెంత
cebutAru	చెబుతారు
cebutAyi	చెబుతాయి
cebutOMdi	చెబుతోంది
cebutuMTE	చెబుతుంటే
cebutunnAru	చెబుతున్నారు
cebutunnAyi	చెబుతున్నాయి
cekkalatO	చెక్కలతో
cekki	చెక్కి
cekkucedaraTaM	చెక్కుచెదరటం
celAkIgA	చెలాకీగా
celliMci	చెల్లించి
celliMcukuMTE	చెల్లించుకుంటే
cemaTanu	చెమటను
cemaTlu	చెమట్లు
ceppA	చెప్పా
ceppADaTa	చెప్పాడట
ceppAlaMTE	చెప్పాలంటే
ceppAli	చెప్పాలి
ceppAru	చెప్పారు
ceppE	చెప్పే
ceppEMduku	చెప్పేందుకు
ceppESAmani	చెప్పేశామని
ceppEvALlu	చెప్పేవాళ్లు
ceppaDAniki	చెప్పడానికి
ceppaDaM	చెప్పడం
ceppaDaMtO	చెప్పడంతో
ceppaTaM	చెప్పటం
ceppakOlEka	చెప్పకోలేక
ceppaka	చెప్పక
ceppalEni	చెప్పలేని
ceppiMdi	చెప్పింది
ceppinaTTu	చెప్పినట్టు
ceppukOlEkapOyinA	చెప్పుకోలేకపోయినా
ceppukuMTAru	చెప్పుకుంటారు
ceppulu	చెప్పులు
ceptOMdi	చెప్తోంది
ceptunnAyi	చెప్తున్నాయి
cey	చెయ్
ceyyAlO	చెయ్యాలో
ceyyAli	చెయ్యాలి
ceyyaTAniki	చెయ్యటానికి
ceyyaTaM	చెయ్యటం
ceyyagalugutuMTAM	చెయ్యగలుగుతుంటాం
ceyyakapOtE	చెయ్యకపోతే
ceyyalEni	చెయ్యలేని
ceyyi	చెయ్యి
ceyyoccu	చెయ్యొచ్చు
ciMtalEkuMDA	చింతలేకుండా
ciMtalu	చింతలు
ciTTA	చిట్టా
ciTliMcukunEvAru	చిట్లించుకునేవారు
cikAku	చికాకు
cikitsA	చికిత్సా
cikitsa	చికిత్స
cikitsakE	చికిత్సకే
cikitsalanu	చికిత్సలను
cikitsalu	చికిత్సలు
cikkaTi	చిక్కటి
cikkukupOtuMTuMdi	చిక్కుకుపోతుంటుంది
cikkukupOyi	చిక్కుకుపోయి
cinna	చిన్న
cinnacUpu	చిన్నచూపు
cinnacinna	చిన్నచిన్న
cinnadi	చిన్నది
cinnanATi	చిన్ననాటి
cinnapATi	చిన్నపాటి
cinnapaMdirilA	చిన్నపందిరిలా
cinnapillalu	చిన్నపిల్లలు
cinnatanaM	చిన్నతనం
cinnavayasulOnE	చిన్నవయసులోనే
cirutiLla	చిరుతిళ్ల
citrAla	చిత్రాల
citramaiMdaMTE	చిత్రమైందంటే
cittUrula	చిత్తూరుల
civara	చివర
civarigA	చివరిగా
civariki	చివరికి
coppuna	చొప్పున
cuTTADu	చుట్టాడు
cuTTArani	చుట్టారని
cuTTU	చుట్టూ
cuTTarikaM	చుట్టరికం
cuTTupakkala	చుట్టుపక్కల
curuku	చురుకు
curukudanaM	చురుకుదనం
curukugA	చురుకుగా
dAMpatya	దాంపత్య
dAMpatyaM	దాంపత్యం
dAMpatyaMlOnU	దాంపత్యంలోనూ
dAMtO	దాంతో
dAMtOnE	దాంతోనే
dATAlsi	దాటాల్సి
dATEMta	దాటేంత
dATi	దాటి
dATipOyAM	దాటిపోయాం
dAcEstunnAM	దాచేస్తున్నాం
dAcukuMTAM	దాచుకుంటాం
dAdApu	దాదాపు
dAdApugA	దాదాపుగా
dAguDumUtalE	దాగుడుమూతలే
dAhaM	దాహం
dAkshArAmaM	దాక్షారామం
dAkshAyaNi	దాక్షాయణి
dAnaM	దానం
dAnarthaM	దానర్థం
dAni	దాని
dAnidE	దానిదే
dAnikOsaM	దానికోసం
dAniki	దానికి
dAnilO	దానిలో
dAnipai	దానిపై
dAnitO	దానితో
dAnlO	దాన్లో
dAnnO	దాన్నో
dAnni	దాన్ని
dAnnuMci	దాన్నుంచి
dAparikAlU	దాపరికాలూ
dAparikAlu	దాపరికాలు
dAri	దారి
dArilO	దారిలో
dArinapOyE	దారినపోయే
dAritIsE	దారితీసే
dAritIsiMdi	దారితీసింది
dAritIstuMdi	దారితీస్తుంది
dAritiyyaccu	దారితియ్యచ్చు
dAruDhyAniki	దారుఢ్యానికి
dAruDhyAnni	దారుఢ్యాన్ని
dAruDhyaM	దారుఢ్యం
dAruNAlu	దారుణాలు
dAruNaMgA	దారుణంగా
dArula	దారుల
dAsOtsavaM	దాసోత్సవం
dAtalni	దాతల్ని
dAyakamainadani	దాయకమైనదని
dESAlanu	దేశాలను
dESAllO	దేశాల్లో
dESAnni	దేశాన్ని
dESaM	దేశం
dESaMlO	దేశంలో
dESaMlOnE	దేశంలోనే
dESaMlOni	దేశంలోని
dEhAnnI	దేహాన్నీ
dEni	దేని
dEniki	దేనికి
dEnimIdainA	దేనిమీదైనా
dEnnI	దేన్నీ
dEvAlayAla	దేవాలయాల
dEvAlayAnni	దేవాలయాన్ని
dEvAlaya	దేవాలయ
dEvAlayaM	దేవాలయం
dEvIdEvatAmUrtulU	దేవీదేవతామూర్తులూ
dEvO	దేవో
dEva	దేవ
dEvadAsi	దేవదాసి
dEvadEvuDu	దేవదేవుడు
dEvarakoMDa	దేవరకొండ
dEvasthAnaM	దేవస్థానం
dEvasthAnamE	దేవస్థానమే
dEvata	దేవత
dEvatalaMtA	దేవతలంతా
dEvatalanu	దేవతలను
dEvatalnI	దేవతల్నీ
dEvatalu	దేవతలు
dEvi	దేవి
dEvuDu	దేవుడు
dIMtO	దీంతో
dInarthaM	దీనర్థం
dIni	దీని
dInikOsaM	దీనికోసం
dIniki	దీనికి
dInipai	దీనిపై
dInivalla	దీనివల్ల
dInni	దీన్ని
dInnoka	దీన్నొక
dIpAlanU	దీపాలనూ
dIpAlu	దీపాలు
dIpAvaLi	దీపావళి
dIrghakAla	దీర్ఘకాల
dIrghakAlika	దీర్ఘకాలిక
dOhadaM	దోహదం
dRDhaMgA	దృఢంగా
dRDhatvAniki	దృఢత్వానికి
dRSyAlu	దృశ్యాలు
dRSyAnni	దృశ్యాన్ని
dRkpathaM	దృక్పథం
dRkpathaMtO	దృక్పథంతో
dRkpathamE	దృక్పథమే
dRshTi	దృష్టి
dRshTilO	దృష్టిలో
dRshTipeTTaDaM	దృష్టిపెట్టడం
dRshTitO	దృష్టితో
dUdipiMjallA	దూదిపింజల్లా
dUkutuMdi	దూకుతుంది
dUraMgA	దూరంగా
dUraMlO	దూరంలో
dUramai	దూరమై
dUramaipOtU	దూరమైపోతూ
daMDigA	దండిగా
daMDigAnE	దండిగానే
daMgEru	దంగేరు
daMpatulaku	దంపతులకు
daMpatulu	దంపతులు
daSAbdAla	దశాబ్దాల
daSAbdAlu	దశాబ్దాలు
daSa	దశ
daSagAnE	దశగానే
daSalOnE	దశలోనే
daSalOnU	దశలోనూ
daSalanu	దశలను
daSaluMTAyi	దశలుంటాయి
daSanu	దశను
daggarE	దగ్గరే
daggara	దగ్గర
daggaragA	దగ్గరగా
daggaraku	దగ్గరకు
daggaralOni	దగ్గరలోని
daggariki	దగ్గరికి
daggarnuMcI	దగ్గర్నుంచీ
daggu	దగ్గు
dainaMdina	దైనందిన
daivaM	దైవం
daivanirNayAnni	దైవనిర్ణయాన్ని
dakkAli	దక్కాలి
dakkAlsinaMta	దక్కాల్సినంత
dakkEdi	దక్కేది
dakkakuMDA	దక్కకుండా
dakkutAyA	దక్కుతాయా
dakkutAyaMTOMdi	దక్కుతాయంటోంది
dakkutAyani	దక్కుతాయని
dakkutAyi	దక్కుతాయి
dakkutOMdi	దక్కుతోంది
dakkutunnAyi	దక్కుతున్నాయి
dakshArAmaM	దక్షారామం
daksha	దక్ష
dakshaprajApati	దక్షప్రజాపతి
dakshavATika	దక్షవాటిక
dakshavATikagA	దక్షవాటికగా
dakshavATikaku	దక్షవాటికకు
dakshavATikalO	దక్షవాటికలో
dakshavATikalOni	దక్షవాటికలోని
dakshayajJAnni	దక్షయజ్ఞాన్ని
dakshiNa	దక్షిణ
dannugA	దన్నుగా
darSamiccina	దర్శమిచ్చిన
darSan	దర్శన్
darSanAla	దర్శనాల
darSanAlanu	దర్శనాలను
darSanAnaMtaraM	దర్శనానంతరం
darSanAniki	దర్శనానికి
darSanIyaM	దర్శనీయం
darSana	దర్శన
darSanaM	దర్శనం
darSanaMtO	దర్శనంతో
darSanabhAgyaM	దర్శనభాగ్యం
darSanamistADu	దర్శనమిస్తాడు
darSanamistAyi	దర్శనమిస్తాయి
darSanamistuMdi	దర్శనమిస్తుంది
darSanavELalu	దర్శనవేళలు
darSanimistAyi	దర్శనిమిస్తాయి
darSiMcAranI	దర్శించారనీ
darSiMcEMduku	దర్శించేందుకు
darSiMcagalaM	దర్శించగలం
darSiMcukOvAlani	దర్శించుకోవాలని
darSiMcukOvAlanna	దర్శించుకోవాలన్న
darSiMcukOvAli	దర్శించుకోవాలి
darSiMcukOvaDaM	దర్శించుకోవడం
darSiMcukOvaccu	దర్శించుకోవచ్చు
darSiMcukuMTE	దర్శించుకుంటే
darSiMcukunE	దర్శించుకునే
darSiMcukuni	దర్శించుకుని
darSiMcukunnAru	దర్శించుకున్నారు
darSiMcukunnaMta	దర్శించుకున్నంత
darSistE	దర్శిస్తే
darSistU	దర్శిస్తూ
darijErakuMDA	దరిజేరకుండా
darijEravannadi	దరిజేరవన్నది
darijEravu	దరిజేరవు
davanaMtO	దవనంతో
debbatiMTuMdi	దెబ్బతింటుంది
dhAmaM	ధామం
dhAnyAnni	ధాన్యాన్ని
dhArALaMgA	ధారాళంగా
dhArmikula	ధార్మికుల
dhArmikulaku	ధార్మికులకు
dhArmikulu	ధార్మికులు
dhAtuvu	ధాతువు
dhOraNi	ధోరణి
dhOraNilO	ధోరణిలో
dhOraNilOnE	ధోరణిలోనే
dhOraNitO	ధోరణితో
dhOraNulU	ధోరణులూ
dhOraNulanu	ధోరణులను
dhOraNulu	ధోరణులు
dhRvIkariMcinaTlu	ధృవీకరించినట్లు
dhairyaM	ధైర్యం
dhamanulu	ధమనులు
dhanika	ధనిక
dhanikulanuMcayitE	ధనికులనుంచయితే
dhaniyAlU	ధనియాలూ
dhara	ధర
dharakE	ధరకే
dharapai	ధరపై
dharatO	ధరతో
dhariMcAli	ధరించాలి
dhariMca	ధరించ
dhariMcani	ధరించని
dhariMci	ధరించి
dhariMcina	ధరించిన
dharmAlu	ధర్మాలు
dharma	ధర్మ
dharmakartalugA	ధర్మకర్తలుగా
dharmapatni	ధర్మపత్ని
dhruvIkaraNa	ధ్రువీకరణ
dhruvIkariMciMdi	ధ్రువీకరించింది
dhvajArOhaNa	ధ్వజారోహణ
dhvajastaMbhaM	ధ్వజస్తంభం
dhyAnaM	ధ్యానం
diMDu	దిండు
diSagA	దిశగా
dibbalA	దిబ్బలా
diddutArEmO	దిద్దుతారేమో
digainA	దిగైనా
digajAripOtunnAM	దిగజారిపోతున్నాం
diggaja	దిగ్గజ
digostArani	దిగొస్తారని
digulu	దిగులు
digutuMdi	దిగుతుంది
digutunnAru	దిగుతున్నారు
diguva	దిగువ
diguvaku	దిగువకు
dillI	దిల్లీ
dillIlOni	దిల్లీలోని
dinOtsavAnni	దినోత్సవాన్ని
dinacarya	దినచర్య
divyadarSanaM	దివ్యదర్శనం
divyasannidhi	దివ్యసన్నిధి
dorikipOtE	దొరికిపోతే
dorukutuMdi	దొరుకుతుంది
drAkshArAmAniki	ద్రాక్షారామానికి
drAkshArAmAnni	ద్రాక్షారామాన్ని
drAkshArAma	ద్రాక్షారామ
drAkshArAmaM	ద్రాక్షారామం
drAkshArAmaMlO	ద్రాక్షారామంలో
drAkshArAmaMlOni	ద్రాక్షారామంలోని
dravya	ద్రవ్య
duHkhaM	దుఃఖం
dukANAlU	దుకాణాలూ
dukANAlanu	దుకాణాలను
dukANAlu	దుకాణాలు
duppaTi	దుప్పటి
durabhiprAyAlannI	దురభిప్రాయాలన్నీ
duradRshTavaSAttU	దురదృష్టవశాత్తూ
durardhAlu	దురర్ధాలు
duravagAhanallO	దురవగాహనల్లో
durvAsana	దుర్వాసన
dushTaSaktulu	దుష్టశక్తులు
dushTaSikshaNakU	దుష్టశిక్షణకూ
dushpariNAmAla	దుష్పరిణామాల
dustulanu	దుస్తులను
dustulu	దుస్తులు
dvArA	ద్వారా
dvArAnO	ద్వారానో
dvaMdvanIti	ద్వంద్వనీతి
e	ఎ
eDamogaM	ఎడమొగం
eDyukEshan	ఎడ్యుకేషన్
eMDa	ఎండ
eMDaki	ఎండకి
eMcukOvAli	ఎంచుకోవాలి
eMcukoni	ఎంచుకొని
eMdarO	ఎందరో
eMdarinO	ఎందరినో
eMdukU	ఎందుకూ
eMdukaMTE	ఎందుకంటే
eMdukilA	ఎందుకిలా
eMduku	ఎందుకు
eMeMTIes	ఎంఎంటీఎస్
eMjIbIes	ఎంజీబీఎస్
eMpika	ఎంపిక
eMtO	ఎంతో
eMtOkoMta	ఎంతోకొంత
eMtOmaMdi	ఎంతోమంది
eMtOmaMdiki	ఎంతోమందికి
eMta	ఎంత
eMtaTi	ఎంతటి
eMtagAnO	ఎంతగానో
eMtakI	ఎంతకీ
eMtakU	ఎంతకూ
eTu	ఎటు
eTuvaMTi	ఎటువంటి
eduravutunna	ఎదురవుతున్న
edurayyE	ఎదురయ్యే
edurkoMTAranI	ఎదుర్కొంటారనీ
edurkoMTuMDagA	ఎదుర్కొంటుండగా
edurkoMTunna	ఎదుర్కొంటున్న
edurkonE	ఎదుర్కొనే
edurkonElA	ఎదుర్కొనేలా
edurocciMdi	ఎదురొచ్చింది
edurugAli	ఎదురుగాలి
edurugAnE	ఎదురుగానే
egjikyUTiv	ఎగ్జిక్యూటివ్
eguva	ఎగువ
ekarAlakupai	ఎకరాలకుపై
ekkaDA	ఎక్కడా
ekkaDO	ఎక్కడో
ekkaDa	ఎక్కడ
ekkaDainA	ఎక్కడైనా
ekkaDekkaDi	ఎక్కడెక్కడి
ekkaDuMdO	ఎక్కడుందో
ekkiMci	ఎక్కించి
ekkuva	ఎక్కువ
ekkuvagA	ఎక్కువగా
ekkuvagAnE	ఎక్కువగానే
ekkuvasEpu	ఎక్కువసేపు
eksCEMjIla	ఎక్స్ఛేంజీల
eksCEMjIllO	ఎక్స్ఛేంజీల్లో
elA	ఎలా
elAMTi	ఎలాంటి
elAgO	ఎలాగో
elaMTi	ఎలంటి
ellajIvulakU	ఎల్లజీవులకూ
ellamma	ఎల్లమ్మ
ellammagA	ఎల్లమ్మగా
ellammatalli	ఎల్లమ్మతల్లి
ellammatallini	ఎల్లమ్మతల్లిని
elugetti	ఎలుగెత్తి
emukala	ఎముకల
emukalu	ఎముకలు
enimidELla	ఎనిమిదేళ్ల
enimidi	ఎనిమిది
ennO	ఎన్నో
ennOsArlu	ఎన్నోసార్లు
ennaDU	ఎన్నడూ
ennennO	ఎన్నెన్నో
enni	ఎన్ని
eppuDO	ఎప్పుడో
eppuDU	ఎప్పుడూ
eppuDainA	ఎప్పుడైనా
eppuDu	ఎప్పుడు
erupu	ఎరుపు
es	ఎస్
ettayina	ఎత్తయిన
ettuMDE	ఎత్తుండే
ettuna	ఎత్తున
ettunuMci	ఎత్తునుంచి
evarU	ఎవరూ
evaraM	ఎవరం
evarainA	ఎవరైనా
evarainAgAnI	ఎవరైనాగానీ
evaridainA	ఎవరిదైనా
evarikI	ఎవరికీ
evarikainA	ఎవరికైనా
evariki	ఎవరికి
evarikishTaM	ఎవరికిష్టం
evaru	ఎవరు
evvarikI	ఎవ్వరికీ
eyiDs	ఎయిడ్స్
eyims	ఎయిమ్స్
gA	గా
gADha	గాఢ
gADhaMgA	గాఢంగా
gADhamaina	గాఢమైన
gADhanidra	గాఢనిద్ర
gADhata	గాఢత
gADi	గాడి
gADilO	గాడిలో
gAMgEyarAya	గాంగేయరాయ
gAMgEyulu	గాంగేయులు
gAbharA	గాభరా
gAjulU	గాజులూ
gAli	గాలి
gAnI	గానీ
gAthE	గాథే
gAtha	గాథ
gAthallO	గాథల్లో
gAthatO	గాథతో
gAyapaDitE	గాయపడితే
gODala	గోడల
gODalapai	గోడలపై
gOdAvarI	గోదావరీ
gOdAvari	గోదావరి
gOdAvarini	గోదావరిని
gOlkoMDa	గోల్కొండ
gOpurAlu	గోపురాలు
gOpura	గోపుర
gOviMdarAjasvAmi	గోవిందరాజస్వామి
gRhiNi	గృహిణి
gUDA	గూడా
gaDapaDAniki	గడపడానికి
gaDicipOvaTAniki	గడిచిపోవటానికి
gaDipE	గడిపే
gaDipElA	గడిపేలా
gaDipitE	గడిపితే
gaDuputAru	గడుపుతారు
gaDustuMdi	గడుస్తుంది
gaMDabhEruMDa	గండభేరుండ
gaMDabhEruMDadEva	గండభేరుండదేవ
gaMTa	గంట
gaMTala	గంటల
gaMTalaku	గంటలకు
gaMTalapATu	గంటలపాటు
gaMTalu	గంటలు
gaMdaragOLAlaku	గందరగోళాలకు
gaMdaragOLAluMDavu	గందరగోళాలుండవు
gaMdaragOLAniki	గందరగోళానికి
gaMdaragOLaM	గందరగోళం
gaMdaragOLaMlO	గందరగోళంలో
gaNapati	గణపతి
gaTTipaDutuMDoccu	గట్టిపడుతుండొచ్చు
gaccu	గచ్చు
gaditO	గదితో
gadullO	గదుల్లో
gajapatulu	గజపతులు
gajji	గజ్జి
galagalA	గలగలా
galavArE	గలవారే
galavAriki	గలవారికి
galavAru	గలవారు
gamanAnni	గమనాన్ని
gamanArhaM	గమనార్హం
gamaniMcAli	గమనించాలి
gamaniMcArAme	గమనించారామె
gamaniMcAru	గమనించారు
gamanistE	గమనిస్తే
gamanistuMTAru	గమనిస్తుంటారు
gamyaM	గమ్యం
garbhAlaMTE	గర్భాలంటే
garbhAlaMyaMlOki	గర్భాలంయంలోకి
garbhAlayAniki	గర్భాలయానికి
garbhanirOdhaM	గర్భనిరోధం
garbhanirOdhaka	గర్భనిరోధక
garbhiNulu	గర్భిణులు
garishThaM	గరిష్ఠం
garishThaMgA	గరిష్ఠంగా
garuDOtsavaM	గరుడోత్సవం
garuDOtsavaMtO	గరుడోత్సవంతో
gatAnikI	గతానికీ
gataM	గతం
gaurI	గౌరీ
gauravaM	గౌరవం
gauravapradamaina	గౌరవప్రదమైన
gauraviMcaTaM	గౌరవించటం
gautama	గౌతమ
gaya	గయ
gelici	గెలిచి
ghOra	ఘోర
ghOshiMcE	ఘోషించే
ghaDiyallO	ఘడియల్లో
ghaDiyalu	ఘడియలు
ghaMTasAla	ఘంటసాల
ghaTTamaina	ఘట్టమైన
ghanaMgA	ఘనంగా
gharshaNaku	ఘర్షణకు
giMjalu	గింజలు
goDrALla	గొడ్రాళ్ల
goppa	గొప్ప
grA	గ్రా
grAmAla	గ్రామాల
grAmAllO	గ్రామాల్లో
grAmAnikI	గ్రామానికీ
grAmAniki	గ్రామానికి
grAmINula	గ్రామీణుల
grAma	గ్రామ
grAmaMlO	గ్రామంలో
grAmaMlOnU	గ్రామంలోనూ
grIku	గ్రీకు
grUp	గ్రూప్
graha	గ్రహ
grahiMcAru	గ్రహించారు
grahiMcE	గ్రహించే
grahiMcEMduku	గ్రహించేందుకు
grahiMcukOvaTaMlOnU	గ్రహించుకోవటంలోనూ
guDDinammakAllOMcI	గుడ్డినమ్మకాల్లోంచీ
guDi	గుడి
guLlalO	గుళ్లలో
guMDe	గుండె
guMDejabbu	గుండెజబ్బు
guMDenu	గుండెను
guMDepOTu	గుండెపోటు
guNaM	గుణం
guNavaMtuDE	గుణవంతుడే
guhalO	గుహలో
gummaMlO	గుమ్మంలో
guptA	గుప్తా
guraina	గురైన
guravutunnArA	గురవుతున్నారా
gurayyADaTa	గురయ్యాడట
gurayyADu	గురయ్యాడు
guriMcE	గురించే
guriMcI	గురించీ
guriMci	గురించి
gurrAlU	గుర్రాలూ
gurraM	గుర్రం
gurraMpai	గుర్రంపై
gurterigi	గుర్తెరిగి
gurtiMcAli	గుర్తించాలి
gurtiMcAru	గుర్తించారు
gurtiMcaM	గుర్తించం
gurtiMcaTamE	గుర్తించటమే
gurtiMcalEkapOvaccu	గుర్తించలేకపోవచ్చు
gurtiMci	గుర్తించి
gurtiMciMdI	గుర్తించిందీ
gurtiMpu	గుర్తింపు
gurtiMputO	గుర్తింపుతో
gurtistE	గుర్తిస్తే
gurtistU	గుర్తిస్తూ
gurtistuMdi	గుర్తిస్తుంది
gurtukostAyi	గుర్తుకొస్తాయి
guruvArAlu	గురువారాలు
hAjaravutAru	హాజరవుతారు
hAjaravvAlsi	హాజరవ్వాల్సి
hAjarukAvAlsi	హాజరుకావాల్సి
hAlu	హాలు
hAnicEyani	హానిచేయని
hArmOn	హార్మోన్
hArmOnE	హార్మోనే
hArmOnlE	హార్మోన్లే
hArmOnla	హార్మోన్ల
hArmOnlu	హార్మోన్లు
hArvarD	హార్వర్డ్
hAthIrAMjI	హాథీరాంజీ
hAyigA	హాయిగా
hEmaM	హేమం
hEmalAMba	హేమలాంబ
hOdA	హోదా
hRdayESvarini	హృదయేశ్వరిని
hRdayakshEtraMgA	హృదయక్షేత్రంగా
haDAvuDigA	హడావుడిగా
haMpI	హంపీ
haibIpI	హైబీపీ
haidarAbAd	హైదరాబాద్
hakku	హక్కు
haraharamahAdEva	హరహరమహాదేవ
hariMcAlani	హరించాలని
hariMcE	హరించే
hariMcukupOyikUlabaDipOtuMTAM	హరించుకుపోయికూలబడిపోతుంటాం
hariMpajEstADani	హరింపజేస్తాడని
harihara	హరిహర
hariharuliddarU	హరిహరులిద్దరూ
haristunnADani	హరిస్తున్నాడని
hastaprayOgaM	హస్తప్రయోగం
hattukOvaTaM	హత్తుకోవటం
havissunu	హవిస్సును
hayAMlO	హయాంలో
hec	హెచ్
heccarikallO	హెచ్చరికల్లో
heccaristunnAru	హెచ్చరిస్తున్నారు
hiraNyakaSipuDini	హిరణ్యకశిపుడిని
hushArugA	హుషారుగా
i	ఇ
iLlalO	ఇళ్లలో
iLlanu	ఇళ్లను
iMDOr	ఇండోర్
iMDiyA	ఇండియా
iMDiyAgA	ఇండియాగా
iMDiyAlO	ఇండియాలో
iMTarneT	ఇంటర్నెట్
iMTi	ఇంటి
iMTiki	ఇంటికి
iMTikoccAka	ఇంటికొచ్చాక
iMTikocciMdi	ఇంటికొచ్చింది
iMTlO	ఇంట్లో
iMTlOkeLli	ఇంట్లోకెళ్లి
iMTlOnO	ఇంట్లోనో
iMTlOnU	ఇంట్లోనూ
iMduku	ఇందుకు
iMdulO	ఇందులో
iMkA	ఇంకా
iMkO	ఇంకో
iMpIriyal	ఇంపీరియల్
iMtE	ఇంతే
iMtaTi	ఇంతటి
iMtakannA	ఇంతకన్నా
iMtalO	ఇంతలో
iTIvalE	ఇటీవలే
iTIvali	ఇటీవలి
iTu	ఇటు
iTuvaMTi	ఇటువంటి
ibbaMdigA	ఇబ్బందిగా
ibbaMdikaraMgA	ఇబ్బందికరంగా
ibbaMdipeDutunnAnanna	ఇబ్బందిపెడుతున్నానన్న
ibbaMdipeTTE	ఇబ్బందిపెట్టే
ibbaMdullO	ఇబ్బందుల్లో
iccAru	ఇచ్చారు
iccE	ఇచ్చే
iccinaTlu	ఇచ్చినట్లు
idE	ఇదే
idEM	ఇదేం
idEdO	ఇదేదో
idEmI	ఇదేమీ
idEmiTani	ఇదేమిటని
